stream_id,gesture_order,gesture,start_sample,end_sample
0,0,good-morning_5.csv,64,319
0,1,thank-you_29.csv,352,492
0,2,please_30.csv,525,707
0,3,i-love-you_25.csv,740,965
1,0,i-love-you_13.csv,80,398
1,1,i-am-fine_16.csv,439,643
1,2,thank-you_23.csv,684,833
1,3,i-am-fine_1.csv,874,1098
2,0,thank-you_10.csv,26,277
2,1,excuse-me_7.csv,291,500
2,2,excuse-me_7.csv,514,723
2,3,please_30.csv,737,919
3,0,please_36.csv,30,217
3,1,hello_22.csv,233,392
3,2,good-morning_11.csv,408,615
4,0,please_23.csv,56,235
4,1,please_28.csv,264,459
4,2,good-afternoon_12.csv,488,731
5,0,i-love-you_23.csv,50,276
5,1,please_29.csv,302,506
5,2,good-afternoon_17.csv,532,803
6,0,i-am-fine_9.csv,58,247
6,1,hello_21.csv,277,457
6,2,please_33.csv,487,668
6,3,good-morning_23.csv,698,889
7,0,please_39.csv,82,270
7,1,excuse-me_15.csv,312,490
7,2,hello_5.csv,532,733
7,3,please_36.csv,775,962
8,0,hello_4.csv,30,300
8,1,good-afternoon_3.csv,316,560
8,2,hello_22.csv,576,735
8,3,i-love-you_27.csv,751,974
9,0,i-love-you_19.csv,72,342
9,1,thank-you_15.csv,379,560
9,2,excuse-me_7.csv,597,806
10,0,thank-you_18.csv,78,227
10,1,i-love-you_12.csv,267,586
10,2,good-morning_24.csv,626,815
11,0,excuse-me_16.csv,28,183
11,1,please_16.csv,198,462
11,2,good-morning_19.csv,477,722
11,3,good-afternoon_1.csv,737,959
12,0,good-afternoon_12.csv,42,285
12,1,good-morning_22.csv,307,591
12,2,i-am-fine_5.csv,613,844
13,0,thank-you_28.csv,80,231
13,1,good-afternoon_5.csv,272,503
13,2,please_26.csv,544,740
14,0,good-morning_21.csv,26,310
14,1,good-morning_9.csv,324,619
14,2,thank-you_18.csv,633,782
14,3,hello_15.csv,796,979
15,0,good-afternoon_8.csv,80,289
15,1,good-morning_1.csv,330,568
15,2,excuse-me_2.csv,609,799
15,3,thank-you_25.csv,840,982
16,0,thank-you_27.csv,22,168
16,1,good-morning_12.csv,180,445
16,2,please_5.csv,457,713
16,3,good-afternoon_6.csv,725,951
17,0,hello_7.csv,22,251
17,1,thank-you_23.csv,263,412
17,2,hello_16.csv,424,623
17,3,please_9.csv,635,888
18,0,i-am-fine_13.csv,76,258
18,1,please_33.csv,297,478
18,2,please_20.csv,517,790
18,3,good-afternoon_22.csv,829,1093
19,0,please_16.csv,78,342
19,1,hello_29.csv,382,552
19,2,good-morning_23.csv,592,783
20,0,good-afternoon_4.csv,26,276
20,1,good-morning_6.csv,290,523
20,2,hello_4.csv,537,807
21,0,thank-you_9.csv,20,181
21,1,i-love-you_16.csv,192,473
21,2,please_8.csv,484,750
21,3,i-love-you_2.csv,761,1019
22,0,thank-you_3.csv,78,319
22,1,thank-you_4.csv,359,588
22,2,thank-you_10.csv,628,879
22,3,i-love-you_19.csv,919,1189
23,0,thank-you_17.csv,48,190
23,1,thank-you_2.csv,215,427
23,2,i-am-fine_7.csv,452,712
24,0,i-love-you_20.csv,54,324
24,1,i-love-you_23.csv,352,578
24,2,i-am-fine_3.csv,606,824
24,3,please_25.csv,852,1060
25,0,i-love-you_16.csv,88,369
25,1,i-love-you_10.csv,414,722
25,2,i-am-fine_8.csv,767,1020
26,0,please_8.csv,66,332
26,1,please_27.csv,366,519
26,2,i-am-fine_7.csv,553,813
26,3,thank-you_16.csv,847,1031
27,0,i-am-fine_18.csv,72,252
27,1,i-am-fine_9.csv,289,478
27,2,good-morning_5.csv,515,770
27,3,please_23.csv,807,986
28,0,i-am-fine_23.csv,30,228
28,1,good-afternoon_11.csv,244,467
28,2,i-am-fine_2.csv,483,725
29,0,please_7.csv,68,296
29,1,thank-you_20.csv,331,484
