stream_id,stream_length,first_window_id,last_window_id
0,978,0,37
1,1122,38,82
2,946,83,119
3,654,120,141
4,745,142,168
5,844,169,200
6,905,201,235
7,985,236,274
8,997,275,313
9,834,314,344
10,848,345,376
11,996,377,415
12,882,416,448
13,775,449,476
14,992,477,515
15,998,516,554
16,988,555,593
17,901,594,627
18,1116,628,672
19,795,673,701
20,822,702,731
21,1040,732,772
22,1213,773,822
23,726,823,848
24,1097,849,892
25,1064,893,935
26,1069,936,978
27,1015,979,1018
28,746,1019,1045
29,987,1046,1084
30,933,1085,1120
31,793,1121,1149
32,818,1150,1179
33,767,1180,1207
34,1079,1208,1250
35,978,1251,1288
36,1064,1289,1331
37,732,1332,1357
38,718,1358,1382
39,978,1383,1420
40,837,1421,1451
41,881,1452,1484
42,1128,1485,1530
43,950,1531,1567
44,1215,1568,1617
45,1220,1618,1667
46,1221,1668,1717
47,1060,1718,1759
48,900,1760,1793
49,829,1794,1824
50,1212,1825,1874
51,1017,1875,1914
52,982,1915,1952
53,851,1953,1984
54,706,1985,2009
55,1026,2010,2050
56,750,2051,2077
57,733,2078,2103
58,1038,2104,2144
59,1122,2145,2189
60,882,2190,2222
61,1176,2223,2270
62,831,2271,2301
63,1183,2302,2350
64,1196,2351,2399
65,974,2400,2437
66,1056,2438,2479
67,975,2480,2517
68,999,2518,2556
69,1107,2557,2601
70,1089,2602,2645
71,1132,2646,2691
72,1126,2692,2737
73,988,2738,2776
74,1076,2777,2819
75,882,2820,2852
76,1082,2853,2895
77,1086,2896,2939
78,1144,2940,2986
79,826,2987,3017
80,737,3018,3043
81,768,3044,3071
82,1157,3072,3118
83,720,3119,3143
84,782,3144,3171
85,799,3172,3200
86,698,3201,3224
87,885,3225,3258
88,746,3259,3285
89,799,3286,3314
90,823,3315,3345
91,844,3346,3377
92,736,3378,3403
93,878,3404,3436
94,805,3437,3466
95,993,3467,3505
96,855,3506,3537
97,714,3538,3562
98,754,3563,3589
99,1136,3590,3635
100,1109,3636,3680
101,1181,3681,3728
102,1226,3729,3779
103,761,3780,3806
104,1045,3807,3848
105,1086,3849,3892
106,805,3893,3922
107,751,3923,3949
108,1143,3950,3996
109,762,3997,4023
110,975,4024,4061
111,1015,4062,4101
112,1086,4102,4145
113,724,4146,4171
114,789,4172,4200
115,926,4201,4236
116,976,4237,4274
117,1102,4275,4318
118,1030,4319,4359
119,690,4360,4383
120,967,4384,4421
121,692,4422,4445
122,791,4446,4474
123,1025,4475,4515
124,1116,4516,4560
125,783,4561,4589
126,1006,4590,4629
127,1048,4630,4671
128,852,4672,4703
129,770,4704,4731
130,904,4732,4766
131,831,4767,4797
132,917,4798,4832
133,821,4833,4862
134,794,4863,4891
135,707,4892,4916
136,1151,4917,4963
137,773,4964,4991
138,769,4992,5019
139,700,5020,5043
140,785,5044,5072
141,1085,5073,5116
142,631,5117,5137
143,730,5138,5163
144,1010,5164,5203
145,638,5204,5224
146,1095,5225,5268
147,763,5269,5296
148,717,5297,5321
149,961,5322,5358
150,785,5359,5387
151,645,5388,5409
152,1030,5410,5450
153,816,5451,5480
154,1072,5481,5523
155,830,5524,5554
156,755,5555,5581
157,1073,5582,5624
158,913,5625,5659
159,759,5660,5686
160,1062,5687,5728
161,1094,5729,5772
162,753,5773,5799
163,744,5800,5826
164,719,5827,5851
165,1055,5852,5893
166,780,5894,5921
167,876,5922,5954
168,946,5955,5991
169,720,5992,6016
170,1140,6017,6062
171,761,6063,6089
172,863,6090,6122
173,832,6123,6153
174,989,6154,6192
175,1152,6193,6239
176,1147,6240,6286
177,950,6287,6323
178,934,6324,6359
179,733,6360,6385
180,1225,6386,6436
181,976,6437,6474
182,852,6475,6506
183,1006,6507,6546
184,850,6547,6578
185,866,6579,6611
186,714,6612,6636
187,795,6637,6665
188,876,6666,6698
189,869,6699,6731
190,977,6732,6769
191,685,6770,6793
192,955,6794,6830
193,584,6831,6849
194,814,6850,6879
195,1006,6880,6919
196,913,6920,6954
197,732,6955,6980
198,1070,6981,7023
199,889,7024,7057
200,999,7058,7096
201,899,7097,7130
