0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-9608.0,-9384.0,4980.0,-1461.0,-8609.0,6280.0,6412.0,7976.0,7116.0,11858.0,-2846.0,15825.0,10184.0,-2888.0,8540.0,4701.0,-4426.0,11092.0
-9488.0,-8832.0,4744.0,-886.0,-9354.0,5613.0,7192.0,7800.0,6868.0,11508.0,-4183.0,16423.0,10184.0,-3700.0,7224.0,4900.0,-4021.0,11607.0
-9116.0,-7900.0,5272.0,-848.0,-9590.0,4752.0,7776.0,9620.0,6504.0,11251.0,-4367.0,16615.0,10800.0,-4404.0,6088.0,4857.0,-2559.0,11483.0
-9512.0,-7456.0,5316.0,-1943.0,-10343.0,3886.0,8648.0,11496.0,7400.0,9898.0,-4059.0,15644.0,11156.0,-5320.0,6676.0,4451.0,-1099.0,11067.0
-9212.0,-7564.0,5564.0,-1910.0,-8931.0,3384.0,9164.0,12168.0,7472.0,8680.0,-3319.0,13942.0,11468.0,-5988.0,6324.0,4056.0,-151.0,10030.0
-9520.0,-7456.0,6384.0,-1646.0,-7142.0,2881.0,9116.0,10940.0,6368.0,7275.0,-2880.0,13423.0,11388.0,-6176.0,7860.0,4393.0,400.0,8949.0
-10016.0,-8332.0,6320.0,-1479.0,-7235.0,2357.0,9276.0,8336.0,6232.0,7106.0,-4070.0,14227.0,10496.0,-4732.0,8596.0,4040.0,1447.0,8826.0
-9900.0,-9268.0,6500.0,-1462.0,-8128.0,1749.0,9724.0,8136.0,6016.0,7157.0,-4986.0,14604.0,11228.0,-5188.0,8700.0,4592.0,1263.0,8771.0
-9724.0,-9560.0,6804.0,-768.0,-8728.0,974.0,10916.0,8624.0,6836.0,6806.0,-6003.0,14933.0,11168.0,-4824.0,8876.0,4346.0,2280.0,9020.0
-9188.0,-9500.0,7292.0,-690.0,-8529.0,336.0,12136.0,10868.0,7484.0,5912.0,-5411.0,13602.0,11400.0,-5900.0,8880.0,3703.0,2998.0,8222.0
-8676.0,-9160.0,7652.0,-701.0,-7402.0,102.0,12600.0,11548.0,7264.0,4745.0,-4340.0,11396.0,11280.0,-6132.0,8796.0,2603.0,3116.0,7085.0
-8812.0,-9060.0,8288.0,-465.0,-6088.0,518.0,12200.0,11084.0,6620.0,3705.0,-3295.0,8546.0,9440.0,-5524.0,8976.0,1675.0,2800.0,6017.0
-9552.0,-8924.0,9252.0,354.0,-5548.0,1192.0,11604.0,10648.0,4968.0,3953.0,-2618.0,5214.0,8896.0,-5904.0,9216.0,296.0,2321.0,6933.0
-9892.0,-9024.0,10464.0,2066.0,-5258.0,1585.0,11688.0,9556.0,2876.0,3776.0,-3790.0,3798.0,10264.0,-8036.0,8488.0,-783.0,2495.0,6859.0
-10008.0,-8572.0,11048.0,3026.0,-4490.0,1015.0,13324.0,10692.0,3684.0,3039.0,-4856.0,3556.0,10860.0,-9544.0,9560.0,-1797.0,3601.0,5817.0
-9688.0,-8544.0,11424.0,3421.0,-3921.0,218.0,14804.0,10976.0,4360.0,1403.0,-4934.0,3477.0,11596.0,-9980.0,11320.0,-2009.0,4105.0,4642.0
-9752.0,-8868.0,11612.0,2909.0,-2181.0,-890.0,15992.0,12208.0,5540.0,-179.0,-4347.0,3318.0,12360.0,-11060.0,11712.0,-1856.0,3963.0,2238.0
-9328.0,-9480.0,11220.0,1961.0,-76.0,-1169.0,17092.0,12972.0,7336.0,-2033.0,-2136.0,1089.0,10736.0,-9532.0,12164.0,-2456.0,4258.0,-563.0
-9508.0,-10344.0,10992.0,1864.0,1842.0,189.0,16124.0,10684.0,6804.0,-2708.0,93.0,-2516.0,8628.0,-5984.0,14120.0,-3143.0,1979.0,-241.0
-10092.0,-10656.0,10724.0,2213.0,2348.0,1232.0,14360.0,8732.0,4780.0,-1900.0,398.0,-4429.0,10424.0,-8152.0,12308.0,-4029.0,937.0,342.0
-10340.0,-10940.0,10864.0,3208.0,2257.0,1247.0,13744.0,7664.0,4144.0,-1737.0,-1259.0,-4522.0,10204.0,-7356.0,11072.0,-4622.0,1089.0,-580.0
-10408.0,-10752.0,10428.0,4734.0,2145.0,1390.0,13352.0,6444.0,3400.0,-1451.0,-3672.0,-3143.0,10060.0,-7240.0,10516.0,-5734.0,1562.0,-260.0
-10576.0,-10256.0,9948.0,6112.0,1711.0,1288.0,12908.0,5692.0,3716.0,-836.0,-6178.0,-1357.0,9368.0,-6636.0,11440.0,-6211.0,2078.0,-243.0
-10216.0,-9528.0,9292.0,6688.0,740.0,1522.0,14188.0,6656.0,5748.0,-89.0,-6898.0,-617.0,8096.0,-5268.0,12920.0,-5944.0,1973.0,1069.0
-9756.0,-8028.0,8732.0,5661.0,-29.0,1823.0,14960.0,7016.0,6308.0,545.0,-5429.0,27.0,9720.0,-7964.0,12236.0,-4635.0,940.0,1658.0
-9628.0,-7336.0,8368.0,3488.0,-157.0,1425.0,15292.0,7884.0,7420.0,557.0,-3632.0,976.0,9800.0,-7844.0,11576.0,-2739.0,871.0,615.0
-9088.0,-6920.0,9320.0,880.0,-36.0,766.0,16648.0,12256.0,8164.0,-943.0,409.0,718.0,10908.0,-9188.0,12040.0,-1271.0,893.0,421.0
-9524.0,-8688.0,10916.0,-572.0,2106.0,307.0,15152.0,8256.0,3524.0,-2339.0,804.0,965.0,10712.0,-10272.0,12936.0,-472.0,97.0,-2045.0
-9828.0,-9620.0,11164.0,-693.0,3666.0,501.0,15148.0,8040.0,4256.0,-2215.0,1177.0,554.0,10384.0,-9164.0,10596.0,-1768.0,-859.0,-4193.0
-10228.0,-10068.0,10016.0,-334.0,4089.0,966.0,13480.0,7524.0,5176.0,-2520.0,697.0,213.0,7692.0,-4580.0,11080.0,-2508.0,-395.0,-3868.0
-10380.0,-10068.0,8776.0,546.0,3029.0,1644.0,12828.0,6448.0,5520.0,-981.0,104.0,-559.0,8440.0,-4224.0,11360.0,-2570.0,-988.0,-930.0
-10276.0,-9172.0,8628.0,384.0,1721.0,1452.0,13040.0,7288.0,5420.0,-297.0,-106.0,-763.0,9928.0,-6936.0,10096.0,-2175.0,-467.0,-190.0
-10000.0,-9184.0,8908.0,1265.0,1084.0,1165.0,12428.0,10024.0,4680.0,229.0,-1202.0,-2126.0,10056.0,-6276.0,8784.0,-2508.0,-261.0,-328.0
-10140.0,-8736.0,9864.0,2741.0,2027.0,976.0,11596.0,9796.0,3760.0,-1276.0,-1764.0,-3159.0,10956.0,-8176.0,6984.0,-4235.0,887.0,-621.0
-10156.0,-8468.0,9756.0,4889.0,2630.0,690.0,9368.0,11792.0,3040.0,-1874.0,-3406.0,-5624.0,10052.0,-7196.0,6588.0,-5795.0,1637.0,-1346.0
-10440.0,-7872.0,9512.0,7614.0,2694.0,720.0,11252.0,8828.0,3476.0,-2542.0,-5730.0,-7356.0,8864.0,-6392.0,5464.0,-7771.0,3041.0,-551.0
-10588.0,-6844.0,9312.0,8614.0,1638.0,667.0,13412.0,7236.0,4584.0,-2145.0,-6803.0,-6664.0,9156.0,-8164.0,8764.0,-8701.0,4471.0,1090.0
-10400.0,-5696.0,9988.0,6408.0,707.0,-307.0,19376.0,5912.0,7196.0,-3087.0,-4966.0,-2767.0,9756.0,-11424.0,13820.0,-6839.0,5171.0,628.0
-10124.0,-5700.0,10424.0,1474.0,499.0,-1460.0,20236.0,5344.0,7064.0,-2863.0,-694.0,1159.0,9152.0,-11944.0,20248.0,-1696.0,3338.0,-1013.0
-10276.0,-7680.0,10384.0,-3324.0,307.0,-2277.0,16280.0,5740.0,4560.0,-2237.0,3152.0,3654.0,9564.0,-10928.0,17900.0,3847.0,-245.0,-3314.0
-10188.0,-10188.0,10236.0,-3763.0,627.0,-2433.0,12968.0,7980.0,4268.0,-1824.0,2260.0,3658.0,9516.0,-6428.0,9044.0,4186.0,-977.0,-4058.0
-9880.0,-11908.0,10136.0,-372.0,1217.0,-1406.0,10548.0,9648.0,3676.0,-2295.0,-709.0,1416.0,9624.0,-3588.0,4068.0,-410.0,675.0,-2631.0
-9996.0,-11556.0,9612.0,4496.0,2177.0,41.0,11332.0,10464.0,4700.0,-2581.0,-3921.0,-1839.0,10300.0,-4800.0,4280.0,-6209.0,2548.0,-1278.0
-10300.0,-9168.0,8556.0,6552.0,2597.0,517.0,12872.0,8708.0,5808.0,-2776.0,-5066.0,-3641.0,9696.0,-6924.0,10244.0,-8072.0,3677.0,-1106.0
-11148.0,-6872.0,7980.0,5185.0,1515.0,114.0,14452.0,6760.0,6664.0,-2308.0,-3422.0,-3116.0,9232.0,-7992.0,14396.0,-5430.0,2891.0,-505.0
-10892.0,-6124.0,8072.0,2050.0,641.0,-465.0,15208.0,5268.0,6276.0,-1388.0,-1352.0,-465.0,9344.0,-8648.0,13264.0,-1868.0,1993.0,-607.0
-10556.0,-6220.0,8548.0,-1377.0,-394.0,-1163.0,14552.0,6696.0,5284.0,-916.0,639.0,2575.0,9672.0,-9308.0,12840.0,1017.0,1495.0,-727.0
-10008.0,-7504.0,9216.0,-3223.0,-877.0,-1838.0,13556.0,8032.0,4504.0,-947.0,1459.0,4203.0,10040.0,-8660.0,10768.0,2459.0,642.0,-1520.0
-9344.0,-9620.0,10288.0,-1598.0,580.0,-1590.0,11304.0,10980.0,3320.0,-1784.0,-217.0,2383.0,9868.0,-6548.0,6204.0,519.0,928.0,-2676.0
-9368.0,-10704.0,10600.0,2515.0,2594.0,-593.0,10500.0,11048.0,3024.0,-2730.0,-3166.0,-1620.0,9528.0,-5876.0,4952.0,-3987.0,1991.0,-2323.0
-9856.0,-9432.0,10324.0,6232.0,3672.0,194.0,11944.0,11204.0,3620.0,-3352.0,-5510.0,-5474.0,8892.0,-6788.0,6340.0,-7678.0,3763.0,-1474.0
-10404.0,-6808.0,10048.0,6591.0,3724.0,233.0,14372.0,7964.0,4480.0,-4216.0,-3993.0,-5686.0,9132.0,-10152.0,12296.0,-7929.0,4590.0,-911.0
-10840.0,-5572.0,9492.0,4531.0,2326.0,-1056.0,15728.0,7032.0,4912.0,-3255.0,-2743.0,-3911.0,8444.0,-10212.0,13764.0,-4140.0,3554.0,-1774.0
-10736.0,-4684.0,9276.0,1079.0,740.0,-2334.0,16756.0,6204.0,5132.0,-3734.0,-299.0,23.0,9416.0,-11680.0,12848.0,-703.0,3494.0,-1866.0
-10300.0,-5832.0,9732.0,-2372.0,360.0,-3295.0,15512.0,7696.0,5064.0,-3516.0,1763.0,3001.0,9500.0,-10344.0,12984.0,2132.0,2119.0,-3251.0
-9676.0,-8460.0,10324.0,-3169.0,523.0,-3939.0,13668.0,8772.0,4084.0,-4607.0,2026.0,3826.0,9244.0,-8044.0,9864.0,2819.0,1728.0,-4204.0
-9436.0,-10196.0,10480.0,-879.0,1581.0,-3373.0,12268.0,9112.0,3720.0,-4261.0,-275.0,1972.0,8404.0,-5356.0,8032.0,686.0,1853.0,-3640.0
-9700.0,-10632.0,10384.0,2734.0,2551.0,-2230.0,9020.0,9108.0,1028.0,-3303.0,-3128.0,-1979.0,9392.0,-7084.0,6376.0,-2631.0,2098.0,-3311.0
-10192.0,-9224.0,9996.0,7074.0,3386.0,-1377.0,8480.0,7716.0,212.0,-3151.0,-8046.0,-3717.0,8196.0,-5236.0,5664.0,-6225.0,3578.0,-2182.0
-10436.0,-6688.0,8596.0,8705.0,3058.0,-1341.0,14640.0,6256.0,6244.0,-1940.0,-9167.0,-3021.0,9032.0,-8076.0,6824.0,-7466.0,5047.0,-896.0
-9708.0,-3344.0,7648.0,3420.0,837.0,-2773.0,25368.0,10604.0,14928.0,-3761.0,-166.0,801.0,9628.0,-11816.0,16556.0,-4892.0,7574.0,249.0
