0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-5132.0,-10156.0,12316.0,224.0,-258.0,67.0,-3340.0,12028.0,10268.0,-106.0,120.0,195.0,6380.0,-7236.0,12724.0,-607.0,676.0,402.0
-5164.0,-9928.0,12076.0,348.0,-370.0,-102.0,-3716.0,12636.0,10664.0,-245.0,14.0,36.0,6452.0,-7320.0,12424.0,-698.0,799.0,221.0
-5268.0,-9928.0,12344.0,537.0,-220.0,-21.0,-3636.0,12120.0,10264.0,-370.0,29.0,-55.0,6616.0,-7488.0,12644.0,-634.0,780.0,274.0
-5228.0,-9868.0,12464.0,704.0,-117.0,66.0,-3860.0,12088.0,10012.0,-130.0,-211.0,54.0,6248.0,-7512.0,12208.0,-727.0,791.0,86.0
-5180.0,-9712.0,12584.0,473.0,-32.0,-178.0,-3476.0,12176.0,10320.0,-340.0,-166.0,19.0,6468.0,-7436.0,12980.0,-651.0,970.0,3.0
-4964.0,-9784.0,12324.0,113.0,71.0,-152.0,-3692.0,12832.0,10304.0,-118.0,-359.0,122.0,6344.0,-7360.0,12504.0,-672.0,1018.0,-9.0
-5020.0,-9988.0,12316.0,187.0,73.0,-233.0,-3176.0,12176.0,10608.0,-333.0,-251.0,139.0,6156.0,-7124.0,13240.0,-333.0,975.0,82.0
-5072.0,-10280.0,12400.0,153.0,-132.0,-365.0,-3512.0,12928.0,10424.0,-301.0,-451.0,275.0,6416.0,-7368.0,12632.0,-112.0,890.0,-98.0
-4884.0,-10324.0,12584.0,160.0,-106.0,-250.0,-3288.0,12892.0,11052.0,-557.0,-411.0,78.0,6392.0,-7568.0,13292.0,-545.0,893.0,-56.0
-5224.0,-10340.0,12832.0,-263.0,159.0,-217.0,-3532.0,12608.0,10788.0,-438.0,-197.0,82.0,6340.0,-7268.0,12940.0,-63.0,420.0,-66.0
-5172.0,-10256.0,12608.0,71.0,89.0,-261.0,-3640.0,12844.0,10504.0,-648.0,-320.0,6.0,6544.0,-7840.0,12832.0,-513.0,903.0,-154.0
-5144.0,-10256.0,12780.0,303.0,179.0,-228.0,-3668.0,13392.0,11168.0,-502.0,-456.0,156.0,6564.0,-7700.0,13932.0,-289.0,645.0,-241.0
-5124.0,-10536.0,13340.0,-607.0,-183.0,-81.0,-2880.0,13552.0,11816.0,-1008.0,-426.0,477.0,6680.0,-8124.0,15660.0,182.0,312.0,-269.0
-5596.0,-10828.0,14536.0,-1885.0,-100.0,418.0,-2768.0,18484.0,13128.0,270.0,-520.0,2455.0,7860.0,-9332.0,19180.0,1151.0,-994.0,-704.0
-4712.0,-11228.0,15164.0,-4006.0,281.0,312.0,-3004.0,16832.0,12920.0,-3587.0,-1488.0,3297.0,7740.0,-9892.0,18196.0,3187.0,-2590.0,-2822.0
-4872.0,-12136.0,15736.0,-5535.0,677.0,464.0,-2600.0,16132.0,12628.0,-4446.0,-1721.0,3511.0,8368.0,-10684.0,17340.0,2286.0,-3755.0,-3142.0
-4524.0,-12920.0,14796.0,-6058.0,2485.0,984.0,-2252.0,15936.0,13392.0,-5294.0,-1553.0,2664.0,6120.0,-7360.0,15844.0,1922.0,-4854.0,-3939.0
-5076.0,-13068.0,14612.0,-5151.0,3167.0,1945.0,-1796.0,14320.0,13464.0,-3847.0,-1048.0,3101.0,6656.0,-7608.0,15916.0,1509.0,-4954.0,-3190.0
-5052.0,-11968.0,14300.0,-5888.0,3029.0,1730.0,-1732.0,14692.0,13508.0,-5571.0,-754.0,3120.0,7944.0,-7888.0,19956.0,1653.0,-4253.0,-3778.0
-4752.0,-12648.0,13528.0,-7851.0,2829.0,1891.0,-812.0,13412.0,12464.0,-6835.0,-1664.0,5756.0,8588.0,-8804.0,18740.0,5046.0,-6040.0,-4260.0
-6088.0,-11016.0,13680.0,-10252.0,3393.0,1595.0,-1036.0,11660.0,12216.0,-7316.0,-3181.0,10328.0,9544.0,-9680.0,20028.0,6863.0,-6542.0,-5439.0
-5876.0,-11716.0,13348.0,-13912.0,3531.0,640.0,-32.0,8280.0,10500.0,-9757.0,-5376.0,14977.0,9732.0,-8688.0,22388.0,10837.0,-7470.0,-7679.0
-5724.0,-11320.0,12004.0,-15925.0,3268.0,-640.0,-220.0,13472.0,12052.0,-14443.0,-7986.0,19117.0,8636.0,-8368.0,17552.0,12682.0,-8572.0,-8391.0
-5620.0,-12168.0,12068.0,-17652.0,2904.0,-570.0,2096.0,10916.0,13372.0,-13009.0,-8557.0,25260.0,9172.0,-8808.0,17820.0,15033.0,-10521.0,-9738.0
-5564.0,-11988.0,11192.0,-18619.0,3400.0,-745.0,2372.0,12244.0,14252.0,-15201.0,-8928.0,30507.0,9216.0,-8036.0,15772.0,16106.0,-11470.0,-11700.0
-5212.0,-11884.0,9548.0,-19953.0,1486.0,-1772.0,3552.0,11052.0,14552.0,-15905.0,-7749.0,32767.0,8408.0,-5768.0,15384.0,17064.0,-11285.0,-12359.0
-5756.0,-12592.0,7756.0,-20097.0,-543.0,-2624.0,3832.0,11232.0,14592.0,-16742.0,-5879.0,32767.0,8576.0,-5268.0,13976.0,18212.0,-12016.0,-12385.0
-6084.0,-12420.0,8196.0,-21566.0,-432.0,-2088.0,7388.0,5840.0,14584.0,-17599.0,-5677.0,32767.0,9772.0,-6276.0,15284.0,19956.0,-13397.0,-12948.0
-6240.0,-11552.0,6884.0,-20952.0,-2211.0,-2041.0,5560.0,10532.0,14884.0,-19788.0,-2171.0,32767.0,10444.0,-6408.0,13352.0,21318.0,-13259.0,-13619.0
-6460.0,-11356.0,6968.0,-23040.0,-1109.0,-3035.0,7056.0,6932.0,9912.0,-22629.0,-7463.0,32767.0,10360.0,-5140.0,10544.0,23380.0,-11798.0,-15816.0
-4772.0,-13224.0,6180.0,-22659.0,-6194.0,-4771.0,4848.0,8000.0,12160.0,-20312.0,-9195.0,32767.0,9616.0,-2776.0,10380.0,25557.0,-8992.0,-16067.0
-5652.0,-12756.0,3248.0,-24845.0,-2564.0,-6445.0,7500.0,328.0,12324.0,-18747.0,-12096.0,32767.0,9200.0,-1104.0,9980.0,27446.0,-9182.0,-15719.0
-5704.0,-13548.0,2828.0,-25074.0,891.0,-6405.0,7792.0,364.0,10632.0,-12757.0,-13512.0,32767.0,9348.0,-304.0,7976.0,27447.0,-8068.0,-14279.0
-6720.0,-12292.0,1792.0,-24476.0,-150.0,-6885.0,10628.0,-2936.0,11408.0,-8014.0,-16304.0,32767.0,10904.0,-444.0,7964.0,29348.0,-7644.0,-14586.0
-4984.0,-12132.0,680.0,-26690.0,-2509.0,-7872.0,14584.0,-2200.0,11184.0,521.0,-17306.0,32767.0,11844.0,-692.0,9296.0,30150.0,-6147.0,-14831.0
-4976.0,-13468.0,1588.0,-23827.0,-2119.0,-8394.0,14896.0,-1492.0,7664.0,7578.0,-21582.0,32767.0,12332.0,-1000.0,4040.0,29501.0,-4920.0,-16583.0
-3600.0,-13056.0,1264.0,-20603.0,-1099.0,-8422.0,16324.0,180.0,9932.0,14199.0,-19920.0,32767.0,8772.0,3816.0,3040.0,26072.0,-5198.0,-17171.0
-3124.0,-14904.0,-368.0,-17646.0,1886.0,-6787.0,15792.0,7548.0,11044.0,23639.0,-18456.0,32767.0,6812.0,7384.0,-3476.0,20336.0,-2037.0,-15498.0
-4284.0,-15680.0,840.0,-12249.0,4531.0,-5393.0,11612.0,7876.0,10632.0,24447.0,-18972.0,32767.0,7896.0,8492.0,3220.0,15975.0,-1017.0,-12709.0
-3388.0,-13684.0,-440.0,-7891.0,5618.0,-4223.0,14104.0,3672.0,9028.0,23697.0,-17124.0,32767.0,10464.0,4924.0,7508.0,15858.0,-4618.0,-11559.0
-2148.0,-11736.0,-2224.0,-9416.0,4735.0,-3434.0,14436.0,-3724.0,5556.0,27467.0,-20588.0,32767.0,11512.0,3792.0,4264.0,13733.0,-6693.0,-12649.0
