0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
4896.0,-14328.0,-4920.0,-2515.0,1721.0,-9028.0,4232.0,-2828.0,16492.0,3973.0,1360.0,20051.0,6184.0,12428.0,6984.0,-2769.0,8596.0,-6676.0
5632.0,-15552.0,-3620.0,-3421.0,2060.0,-9032.0,3648.0,-3440.0,15328.0,1778.0,2715.0,14833.0,5728.0,12464.0,10560.0,-4085.0,8187.0,-7743.0
5220.0,-16724.0,-4748.0,-3500.0,1917.0,-8213.0,3484.0,-4172.0,16388.0,-368.0,3527.0,11134.0,4236.0,15624.0,7892.0,-2426.0,6369.0,-7006.0
5948.0,-17188.0,-3708.0,-2602.0,1688.0,-6803.0,3280.0,-6064.0,16672.0,-1423.0,2945.0,8628.0,3376.0,16928.0,10156.0,-4275.0,5953.0,-3688.0
5672.0,-17564.0,-3988.0,-1626.0,1820.0,-5179.0,3208.0,-6912.0,17016.0,-2191.0,1314.0,7427.0,6268.0,13444.0,10500.0,-3197.0,4020.0,-2750.0
5204.0,-16764.0,-4340.0,-94.0,1008.0,-4146.0,3184.0,-8712.0,16760.0,-1737.0,592.0,6764.0,6896.0,14264.0,9456.0,-3267.0,4236.0,-2373.0
5320.0,-15956.0,-4760.0,-840.0,-596.0,-4529.0,4908.0,-8296.0,16676.0,-22.0,1721.0,6184.0,8592.0,11440.0,10740.0,-1178.0,4679.0,-2808.0
5104.0,-16844.0,-4168.0,-1527.0,-1910.0,-4473.0,4016.0,-7756.0,17000.0,1337.0,1800.0,6261.0,7152.0,13868.0,8952.0,-143.0,5404.0,-4115.0
5436.0,-17504.0,-3648.0,-1255.0,-2049.0,-4214.0,3504.0,-7008.0,16600.0,889.0,1771.0,5457.0,5716.0,15432.0,9028.0,-170.0,4936.0,-2825.0
5412.0,-17488.0,-4208.0,16.0,-2124.0,-3106.0,4100.0,-7248.0,16788.0,213.0,1042.0,3681.0,5372.0,15600.0,9828.0,-334.0,4867.0,-1013.0
5376.0,-17412.0,-4016.0,40.0,-1870.0,-2201.0,4048.0,-7340.0,16764.0,-10.0,460.0,2436.0,6408.0,14356.0,8796.0,32.0,4680.0,-253.0
5152.0,-16968.0,-4340.0,-494.0,-1440.0,-1527.0,3416.0,-7704.0,16488.0,280.0,4.0,1471.0,6556.0,14372.0,9088.0,245.0,5083.0,229.0
5116.0,-16368.0,-5180.0,-413.0,-2328.0,-1473.0,3752.0,-7984.0,17052.0,650.0,-478.0,1409.0,6660.0,14788.0,7912.0,918.0,6398.0,1003.0
4992.0,-15380.0,-5416.0,-2195.0,-3983.0,-2243.0,3828.0,-7996.0,16952.0,2830.0,-73.0,1790.0,8328.0,12056.0,8028.0,3187.0,9319.0,704.0
5788.0,-15260.0,-5168.0,-3989.0,-5311.0,-3049.0,4136.0,-7808.0,17052.0,4575.0,815.0,1420.0,7252.0,13016.0,7568.0,4708.0,12732.0,-947.0
6128.0,-16288.0,-5336.0,-5120.0,-6208.0,-2667.0,3528.0,-6996.0,17624.0,5671.0,1453.0,-910.0,5084.0,14208.0,8460.0,6273.0,15786.0,-1861.0
6324.0,-17024.0,-6148.0,-6213.0,-7253.0,-1183.0,3172.0,-4964.0,19188.0,5860.0,1452.0,-4976.0,2564.0,16676.0,8420.0,8726.0,18039.0,-1562.0
6712.0,-17420.0,-6652.0,-6254.0,-8941.0,926.0,4880.0,-1900.0,21072.0,4840.0,4027.0,-12121.0,292.0,19344.0,7560.0,11926.0,19584.0,1552.0
7792.0,-15952.0,-6568.0,-5499.0,-10139.0,3375.0,8456.0,1668.0,19584.0,-3208.0,18314.0,-17176.0,-1032.0,20732.0,1168.0,8479.0,21094.0,6759.0
5256.0,-17904.0,-7396.0,-6787.0,-11078.0,3861.0,-1352.0,-1564.0,18024.0,-4392.0,13034.0,-28344.0,-40.0,17840.0,9892.0,6830.0,19089.0,12180.0
6884.0,-15704.0,-9072.0,-1938.0,-14616.0,3928.0,5772.0,-2180.0,20392.0,-8094.0,15377.0,-31243.0,624.0,18228.0,6196.0,8799.0,21638.0,12560.0
6196.0,-15180.0,-8168.0,-3544.0,-16001.0,2444.0,2908.0,-844.0,21424.0,-10158.0,22573.0,-32768.0,-1920.0,20256.0,9088.0,6633.0,24339.0,14412.0
7028.0,-15072.0,-9700.0,-3409.0,-20428.0,1378.0,3064.0,-1964.0,19744.0,-12922.0,28940.0,-32768.0,-968.0,17372.0,11184.0,8009.0,24518.0,17260.0
7456.0,-15192.0,-9612.0,-3652.0,-22905.0,448.0,448.0,-4616.0,18488.0,-15832.0,32767.0,-32768.0,2396.0,16204.0,7064.0,13613.0,24902.0,18648.0
5524.0,-16420.0,-9020.0,-4234.0,-22640.0,357.0,-3068.0,-15840.0,14660.0,-15288.0,30995.0,-32768.0,-2460.0,17088.0,7908.0,284.0,29325.0,18140.0
4840.0,-15972.0,-8648.0,-1031.0,-21480.0,855.0,-2732.0,-16300.0,16096.0,-10234.0,26552.0,-32768.0,-5716.0,23148.0,9780.0,1725.0,28579.0,23776.0
4788.0,-16620.0,-9124.0,-976.0,-18716.0,3707.0,116.0,-10416.0,16820.0,-7563.0,27744.0,-32768.0,-2140.0,16984.0,9896.0,-4466.0,25321.0,26878.0
4180.0,-15432.0,-9204.0,-1210.0,-20210.0,4658.0,-508.0,-10132.0,14508.0,-5044.0,27568.0,-32768.0,2100.0,12604.0,6412.0,-5986.0,26096.0,26897.0
3016.0,-14744.0,-8560.0,-1251.0,-20471.0,4666.0,508.0,-9108.0,16128.0,-3037.0,28109.0,-32768.0,920.0,15508.0,7684.0,-5748.0,25065.0,25193.0
2688.0,-14836.0,-8756.0,-2186.0,-20305.0,4469.0,2516.0,-9496.0,15080.0,-1028.0,29754.0,-32768.0,2232.0,12912.0,9988.0,-8972.0,23507.0,26189.0
3604.0,-17336.0,-7008.0,-3817.0,-19394.0,5293.0,3256.0,-12528.0,13280.0,395.0,27599.0,-32768.0,3396.0,11556.0,8260.0,-8203.0,19895.0,24888.0
1424.0,-14488.0,-8656.0,-2851.0,-17213.0,4871.0,-2692.0,7780.0,21152.0,15269.0,20911.0,-32768.0,4848.0,5076.0,7092.0,-13551.0,21309.0,25750.0
-596.0,-14136.0,-6208.0,-3109.0,-17322.0,5162.0,2328.0,-17192.0,6692.0,11579.0,18562.0,-32768.0,3292.0,7532.0,6940.0,-17334.0,19502.0,22879.0
64.0,-13900.0,-8620.0,-3192.0,-18256.0,5876.0,3740.0,-16880.0,11116.0,9681.0,12487.0,-24824.0,6344.0,5560.0,4940.0,-24188.0,18534.0,19584.0
