0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-12200.0,-4600.0,-2432.0,-5165.0,6653.0,13964.0,-7152.0,1892.0,10004.0,-4085.0,15054.0,-8585.0,12904.0,1692.0,6268.0,3096.0,-12890.0,-5941.0
-11868.0,-4436.0,-2980.0,-5516.0,7093.0,13971.0,-8840.0,2076.0,9072.0,-4664.0,13747.0,-7524.0,13836.0,784.0,3960.0,3568.0,-13100.0,-7008.0
-12032.0,-4624.0,-3844.0,-4824.0,8128.0,13856.0,-10328.0,980.0,8528.0,-4532.0,12788.0,-7847.0,13192.0,4384.0,3144.0,3065.0,-12785.0,-8027.0
-12648.0,-4092.0,-4332.0,-3291.0,7750.0,13413.0,-10200.0,-992.0,9052.0,-3514.0,11937.0,-7740.0,12208.0,6616.0,2940.0,2244.0,-11921.0,-5794.0
-13136.0,-4480.0,-4604.0,-1703.0,5733.0,12576.0,-10824.0,-1640.0,9556.0,-1787.0,11897.0,-7832.0,12596.0,7044.0,2844.0,1269.0,-12196.0,-3199.0
-13864.0,-3916.0,-4204.0,-196.0,3961.0,11724.0,-11460.0,-788.0,9496.0,-1070.0,11623.0,-7591.0,12888.0,7284.0,2348.0,154.0,-11989.0,490.0
-13988.0,-2640.0,-4260.0,-576.0,3422.0,10627.0,-11056.0,416.0,9860.0,-1286.0,11484.0,-7042.0,13908.0,4480.0,4316.0,333.0,-11255.0,3341.0
-13828.0,-2720.0,-3844.0,-1553.0,1967.0,10006.0,-10404.0,-68.0,9716.0,-1896.0,10623.0,-5477.0,15752.0,88.0,3220.0,1048.0,-11195.0,2359.0
-13652.0,-2992.0,-3772.0,-1771.0,2569.0,10275.0,-11536.0,876.0,8924.0,-1343.0,9921.0,-3758.0,17696.0,-1172.0,2408.0,1307.0,-11076.0,-641.0
-13988.0,-2784.0,-3900.0,-869.0,4044.0,10241.0,-12664.0,2024.0,8704.0,-656.0,9090.0,-3268.0,16872.0,2264.0,1444.0,395.0,-10244.0,-2709.0
-13820.0,-2416.0,-4448.0,-1038.0,5589.0,10363.0,-13432.0,1740.0,8660.0,-528.0,8324.0,-4441.0,16504.0,2456.0,1012.0,-187.0,-9490.0,-4202.0
-14584.0,-1728.0,-4672.0,-322.0,5568.0,9924.0,-13540.0,1392.0,9628.0,-65.0,8491.0,-5512.0,15916.0,4308.0,264.0,-1030.0,-8531.0,-4100.0
-15048.0,-788.0,-4596.0,-764.0,4102.0,8995.0,-13248.0,1220.0,10052.0,-952.0,9116.0,-5951.0,15192.0,4976.0,1984.0,-1004.0,-7602.0,-2065.0
-14596.0,-180.0,-4204.0,-1870.0,3616.0,8033.0,-13388.0,900.0,8176.0,-2243.0,9389.0,-5823.0,15516.0,2972.0,2532.0,89.0,-8417.0,-117.0
-14656.0,248.0,-4572.0,-2869.0,2705.0,7215.0,-12840.0,-920.0,6652.0,-2627.0,8793.0,-4836.0,15932.0,2900.0,692.0,373.0,-8354.0,-264.0
-13592.0,-376.0,-5112.0,-2442.0,3207.0,6994.0,-13732.0,-1344.0,5328.0,-1629.0,6973.0,-2790.0,15212.0,4528.0,-508.0,639.0,-8326.0,546.0
-13652.0,-280.0,-5400.0,-1649.0,2788.0,6506.0,-13756.0,-708.0,6640.0,-1004.0,5810.0,-1993.0,15744.0,4080.0,-468.0,269.0,-7102.0,1169.0
-13488.0,-388.0,-5236.0,-1110.0,2709.0,5849.0,-13624.0,-8.0,6988.0,-370.0,5164.0,-1800.0,15608.0,3312.0,-344.0,204.0,-6383.0,1432.0
-13168.0,-612.0,-4820.0,-1452.0,2296.0,5524.0,-14096.0,1524.0,6732.0,-1063.0,4434.0,-2689.0,15848.0,2992.0,-544.0,-190.0,-5980.0,897.0
-13152.0,-680.0,-5068.0,-243.0,3442.0,5544.0,-13152.0,444.0,7548.0,-954.0,4028.0,-3536.0,15548.0,3548.0,-504.0,-1227.0,-5770.0,207.0
-13068.0,-460.0,-5800.0,297.0,3203.0,5681.0,-13304.0,-828.0,7632.0,-372.0,4080.0,-4071.0,14968.0,4988.0,-912.0,-1953.0,-5552.0,973.0
-13604.0,-388.0,-6244.0,469.0,1666.0,5319.0,-13444.0,-2680.0,7128.0,-56.0,3569.0,-3568.0,15224.0,4792.0,-220.0,-2545.0,-4870.0,2436.0
-13952.0,-272.0,-6448.0,1334.0,1036.0,4863.0,-13316.0,-3268.0,7108.0,542.0,2852.0,-1961.0,15004.0,4996.0,376.0,-2465.0,-4638.0,3667.0
-13764.0,-128.0,-6568.0,1059.0,-666.0,4003.0,-12956.0,-3588.0,7184.0,826.0,1735.0,-96.0,15536.0,964.0,-6960.0,-6082.0,-1345.0,4615.0
-13552.0,-396.0,-6364.0,1677.0,-1506.0,4025.0,-12228.0,-3652.0,7152.0,2137.0,1482.0,1586.0,14508.0,-13212.0,1124.0,-32768.0,22062.0,-1413.0
-12548.0,76.0,-5268.0,1722.0,-1606.0,3790.0,-13596.0,1380.0,7868.0,3216.0,1523.0,1723.0,15608.0,224.0,2428.0,-32768.0,23672.0,-3382.0
-13288.0,-8.0,-4576.0,2765.0,-253.0,3816.0,-13912.0,2608.0,7848.0,3018.0,1481.0,840.0,14696.0,2184.0,3384.0,-32768.0,22235.0,-9308.0
-13908.0,48.0,-4268.0,1764.0,693.0,3877.0,-13724.0,3008.0,8188.0,2121.0,1518.0,-934.0,17824.0,1108.0,3816.0,-32768.0,17629.0,-5001.0
-14044.0,-412.0,-3428.0,2761.0,2368.0,5191.0,-13688.0,1668.0,7120.0,2557.0,1047.0,-917.0,16192.0,1152.0,5232.0,-28713.0,13632.0,-2749.0
-15248.0,-952.0,-3744.0,2423.0,485.0,3868.0,-15992.0,2092.0,4952.0,7252.0,-997.0,-1721.0,15372.0,1752.0,4856.0,-27922.0,9793.0,-1811.0
-14856.0,-364.0,-3948.0,3900.0,1948.0,3827.0,-15132.0,2548.0,6820.0,8108.0,-4305.0,-2124.0,16088.0,1044.0,5080.0,-26302.0,8589.0,-1517.0
-14600.0,748.0,-3260.0,4640.0,1289.0,3020.0,-14016.0,1996.0,7644.0,6905.0,-4232.0,-1624.0,16540.0,364.0,5044.0,-16762.0,6052.0,-121.0
-14796.0,1528.0,-4888.0,4347.0,885.0,2440.0,-13400.0,1836.0,8760.0,4043.0,-3701.0,-934.0,15324.0,-216.0,6252.0,-10118.0,2884.0,501.0
-14636.0,1532.0,-5040.0,2358.0,2251.0,2024.0,-13840.0,1700.0,9460.0,1026.0,-2437.0,-578.0,15500.0,384.0,5296.0,-3782.0,658.0,-402.0
