0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-11868.0,-6988.0,12488.0,-9779.0,-16422.0,11004.0,-5024.0,9680.0,11144.0,-6302.0,15815.0,12487.0,2480.0,-14076.0,-9032.0,-1127.0,-29886.0,8862.0
-11252.0,-5060.0,14456.0,-6703.0,-13128.0,12391.0,-5832.0,14160.0,10176.0,-2469.0,14086.0,13196.0,1388.0,-19128.0,-10880.0,-4877.0,-25993.0,7747.0
-10956.0,-2700.0,13628.0,-7814.0,-8730.0,11568.0,-8104.0,19836.0,10348.0,-2196.0,12135.0,11469.0,-148.0,-20680.0,-9492.0,-4868.0,-22650.0,4377.0
-11968.0,-732.0,15184.0,-6712.0,-8010.0,10074.0,-8604.0,19476.0,10228.0,-4656.0,11590.0,9213.0,-2056.0,-18132.0,-10712.0,-4104.0,-20675.0,4473.0
-12704.0,72.0,16224.0,-7983.0,-8858.0,8049.0,-7860.0,16792.0,6904.0,-4827.0,10996.0,9009.0,-32768.0,-32768.0,-32768.0,-32768.0,-28672.0,5774.0
-15780.0,23044.0,24864.0,-7748.0,3954.0,1267.0,-14864.0,32767.0,-2116.0,-14001.0,10774.0,12688.0,-9552.0,-19916.0,4956.0,7612.0,5859.0,-24953.0
-12168.0,15608.0,26204.0,-13230.0,-4587.0,-3706.0,-17032.0,32767.0,-10896.0,-15039.0,3911.0,-4078.0,-4076.0,-3892.0,-2468.0,8200.0,2154.0,-14218.0
-13436.0,5772.0,25216.0,-10597.0,5294.0,-12437.0,-14604.0,32767.0,-5020.0,-11770.0,-4239.0,-14631.0,-2676.0,-4604.0,-2176.0,2699.0,-2421.0,-470.0
-14912.0,-3048.0,17004.0,-8170.0,4494.0,-11616.0,-4892.0,5656.0,10920.0,-6713.0,-6118.0,-16583.0,-1496.0,-7488.0,-5224.0,4614.0,-5800.0,5330.0
-13236.0,-11264.0,11008.0,645.0,-1498.0,-5579.0,-836.0,-8036.0,19152.0,3748.0,-1196.0,-9581.0,2552.0,-14300.0,-8396.0,13679.0,-3293.0,4043.0
-12064.0,-12924.0,8772.0,11957.0,756.0,2950.0,-4764.0,-196.0,21892.0,9109.0,2815.0,-1477.0,5392.0,-20928.0,-12764.0,19915.0,7266.0,-8682.0
-12548.0,-10372.0,8796.0,12733.0,4415.0,4550.0,-10640.0,7936.0,15924.0,7376.0,3256.0,-785.0,17324.0,15876.0,1752.0,-32768.0,-1866.0,32767.0
-11920.0,-8744.0,7752.0,10466.0,-158.0,5984.0,-10168.0,4324.0,12588.0,8550.0,3075.0,-3024.0,2748.0,-32768.0,-6072.0,-10004.0,-578.0,8868.0
-12168.0,-5216.0,7704.0,7256.0,3577.0,1864.0,-11024.0,9960.0,12420.0,4560.0,577.0,-272.0,5800.0,-26216.0,-13236.0,-4570.0,4009.0,-3100.0
-11820.0,-3976.0,8872.0,2612.0,6554.0,-1077.0,-12768.0,17584.0,12584.0,-603.0,-149.0,-4306.0,5012.0,-17108.0,-10092.0,-2645.0,6140.0,-6997.0
-11908.0,-4632.0,9940.0,705.0,8153.0,-2833.0,-10524.0,12064.0,12084.0,-4027.0,334.0,-9000.0,4384.0,-16016.0,-10600.0,-1192.0,8724.0,-8182.0
-11784.0,-6900.0,8796.0,795.0,9852.0,-1937.0,-9240.0,4980.0,10140.0,-3920.0,257.0,-8681.0,4508.0,-11612.0,-6816.0,-1586.0,8465.0,-7178.0
-12836.0,-6436.0,8472.0,-2169.0,4878.0,-3140.0,-8336.0,1804.0,11304.0,-1693.0,-28.0,-7096.0,4880.0,-10716.0,-5632.0,-2666.0,6702.0,-4598.0
-12664.0,-7920.0,8424.0,3675.0,7114.0,-855.0,-7948.0,2240.0,12348.0,1199.0,809.0,-5250.0,5744.0,-9420.0,-6544.0,-3689.0,6493.0,-2092.0
-12420.0,-6812.0,7796.0,856.0,5398.0,227.0,-9312.0,4680.0,10896.0,2635.0,1206.0,-4233.0,5612.0,-12864.0,-6356.0,-4856.0,5843.0,-242.0
-12020.0,-4380.0,7028.0,1092.0,5631.0,-156.0,-10452.0,6556.0,8832.0,1905.0,47.0,-3348.0,5192.0,-16308.0,-8096.0,-4231.0,5542.0,-1105.0
-11872.0,-4236.0,7680.0,-1204.0,3849.0,-2005.0,-10884.0,9412.0,8812.0,586.0,-1921.0,-3627.0,5356.0,-16768.0,-8680.0,-2389.0,6254.0,-3317.0
-11204.0,-5148.0,8300.0,-2662.0,5839.0,-4087.0,-10132.0,10944.0,12284.0,-1316.0,-2167.0,-5951.0,6136.0,-15680.0,-8184.0,-1392.0,7738.0,-5537.0
-11436.0,-6092.0,7100.0,-1985.0,7891.0,-4315.0,-9252.0,6536.0,12300.0,-2947.0,-1765.0,-6866.0,6472.0,-13712.0,-6656.0,-1512.0,8619.0,-5653.0
-11940.0,-7520.0,5536.0,-1960.0,6735.0,-4613.0,-9588.0,1804.0,10740.0,-2820.0,-1223.0,-6735.0,7616.0,-12452.0,-5724.0,-333.0,8011.0,-5662.0
-12588.0,-9008.0,3716.0,-3405.0,3771.0,-4878.0,-9472.0,-324.0,10044.0,-2424.0,-1946.0,-5231.0,8368.0,-11052.0,-4028.0,311.0,5851.0,-4558.0
-12240.0,-9280.0,4824.0,525.0,4961.0,-3924.0,-8952.0,2036.0,13492.0,-1871.0,-2438.0,-4279.0,9024.0,-11900.0,-4332.0,204.0,5120.0,-3867.0
-11328.0,-10884.0,5088.0,221.0,4670.0,-2512.0,-7632.0,516.0,16392.0,-1406.0,-795.0,-4529.0,10308.0,-9384.0,-2980.0,-375.0,4984.0,-2337.0
-11920.0,-10644.0,3888.0,161.0,3354.0,-904.0,-8112.0,-1900.0,14864.0,-705.0,673.0,-3099.0,10192.0,-12216.0,-2392.0,-1467.0,3583.0,-1309.0
-11404.0,-11616.0,2324.0,1479.0,2225.0,612.0,-9712.0,-1520.0,11812.0,-764.0,162.0,-1211.0,11168.0,-10520.0,-4636.0,-1319.0,3257.0,-282.0
-11840.0,-9612.0,2984.0,1480.0,1486.0,-483.0,-10420.0,-724.0,9600.0,-112.0,-1603.0,-208.0,10656.0,-11988.0,-4740.0,282.0,3407.0,668.0
-11260.0,-8760.0,3236.0,1263.0,502.0,-856.0,-9336.0,1144.0,12928.0,-419.0,-2431.0,254.0,10008.0,-14068.0,-3340.0,1024.0,1860.0,-1027.0
-11348.0,-8664.0,2920.0,-898.0,156.0,-1453.0,-9364.0,2476.0,14472.0,-2785.0,-1514.0,227.0,10436.0,-10424.0,-5496.0,1483.0,1808.0,-1454.0
-11616.0,-8848.0,3108.0,-1101.0,-204.0,-1294.0,-9292.0,-1392.0,10860.0,-2804.0,-539.0,-23.0,9964.0,-8944.0,-4184.0,1816.0,1157.0,-75.0
-11868.0,-9508.0,3200.0,-352.0,-1295.0,-584.0,-9400.0,-1892.0,10268.0,-1374.0,-1529.0,1561.0,10332.0,-8352.0,-4632.0,1729.0,801.0,1950.0
-11740.0,-9276.0,3012.0,171.0,-1604.0,-75.0,-9252.0,-384.0,13060.0,-1084.0,-1520.0,2190.0,10588.0,-11488.0,-2932.0,1762.0,-690.0,2393.0
-11964.0,-11192.0,2556.0,-1576.0,-3621.0,-419.0,-10180.0,-1540.0,13072.0,-1402.0,-1432.0,2694.0,12032.0,-10056.0,-3492.0,2175.0,-1146.0,3671.0
-12012.0,-12460.0,1764.0,-603.0,-4725.0,93.0,-8704.0,-5152.0,13704.0,-427.0,-1609.0,2984.0,12128.0,-9344.0,12.0,2698.0,-3415.0,4525.0
-11680.0,-13292.0,1492.0,558.0,-7763.0,1890.0,-6676.0,-7008.0,18264.0,-229.0,-58.0,5576.0,11900.0,-10004.0,1208.0,2656.0,-6406.0,6430.0
-11064.0,-13048.0,1308.0,375.0,-8635.0,4230.0,-5900.0,-5996.0,18636.0,-469.0,2379.0,8246.0,12220.0,-9652.0,1504.0,1857.0,-9659.0,7729.0
-10520.0,-12568.0,1456.0,-1539.0,-10087.0,5609.0,-7428.0,-3944.0,15520.0,-1162.0,3896.0,10246.0,11408.0,-12028.0,-888.0,2285.0,-11044.0,8060.0
-10828.0,-10364.0,1196.0,-2354.0,-10870.0,5741.0,-8388.0,-2232.0,11664.0,-1692.0,3827.0,11037.0,9520.0,-10840.0,-712.0,3180.0,-13740.0,8034.0
-11140.0,-10424.0,4120.0,-1863.0,-15505.0,5805.0,-7140.0,-1088.0,11728.0,-1339.0,3157.0,12109.0,7120.0,-10952.0,-2852.0,2987.0,-15292.0,9397.0
-11064.0,-8048.0,7040.0,-891.0,-14086.0,7499.0,-5788.0,1428.0,12060.0,198.0,3025.0,13947.0,3540.0,-15200.0,-1864.0,2332.0,-17173.0,8945.0
-10616.0,-3672.0,11380.0,-1411.0,-13924.0,8277.0,-5812.0,12252.0,13304.0,-733.0,2250.0,17341.0,-7828.0,-32768.0,-32768.0,-32768.0,4632.0,-1638.0
-13320.0,17776.0,21820.0,-1603.0,-4613.0,6731.0,-19944.0,32767.0,1600.0,-11219.0,1921.0,13247.0,-3472.0,-15924.0,-2608.0,1245.0,12088.0,-17616.0
-11752.0,11888.0,24200.0,-11878.0,-2120.0,-8244.0,-17832.0,32767.0,-3796.0,-15133.0,-4788.0,-695.0,-2292.0,-7352.0,-3040.0,6625.0,2817.0,-12502.0
-13848.0,6008.0,23528.0,-12276.0,1159.0,-14121.0,-13096.0,29104.0,1196.0,-13773.0,-8973.0,-9427.0,-2372.0,-7556.0,-2828.0,3750.0,-1834.0,-2221.0
-13380.0,-5016.0,18448.0,-48.0,4007.0,-9263.0,-5720.0,8360.0,12316.0,-9752.0,-8644.0,-10776.0,-1264.0,-8596.0,-5764.0,6389.0,-3853.0,2582.0
-8692.0,-13936.0,14928.0,-4058.0,-5550.0,-8301.0,-2876.0,-4156.0,17212.0,2245.0,-3443.0,-5406.0,4436.0,-13704.0,-8752.0,23093.0,-613.0,-2210.0
-12312.0,-10272.0,10612.0,13433.0,2072.0,65.0,-7452.0,5588.0,19156.0,7159.0,-732.0,378.0,-2044.0,-26424.0,-16440.0,12556.0,594.0,-7234.0
-11600.0,-8012.0,11928.0,3769.0,-2040.0,-2305.0,-13032.0,18088.0,16116.0,1588.0,-1659.0,-1712.0,6916.0,-29272.0,-12032.0,-113.0,3411.0,-2016.0
-11492.0,-6916.0,9572.0,130.0,6823.0,-5600.0,-12720.0,16148.0,14604.0,-3249.0,-4270.0,-7361.0,8632.0,-22236.0,-9564.0,32.0,7463.0,-6771.0
-11760.0,-9600.0,9108.0,-4049.0,7925.0,-8009.0,-9576.0,7524.0,16336.0,-6229.0,-4330.0,-10538.0,8152.0,-14816.0,-6860.0,1433.0,10304.0,-8466.0
-12148.0,-12092.0,7192.0,-449.0,8482.0,-6452.0,-7272.0,-3416.0,13460.0,-4231.0,-3437.0,-9511.0,9212.0,-9492.0,-3320.0,-217.0,9647.0,-6394.0
