0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-3904.0,-10340.0,12832.0,-2642.0,2640.0,2780.0,4104.0,12332.0,9276.0,-1694.0,1518.0,1845.0,1772.0,-12560.0,3532.0,-5953.0,12401.0,-3794.0
-4764.0,-9364.0,12208.0,-1789.0,1341.0,3015.0,4464.0,10532.0,8900.0,-1153.0,2126.0,4758.0,-500.0,-12716.0,6224.0,-6307.0,12713.0,-1247.0
-3932.0,-8708.0,12036.0,-1732.0,-929.0,2076.0,4540.0,8592.0,8032.0,-3294.0,2657.0,9005.0,-2332.0,-15812.0,7908.0,-3633.0,9799.0,2033.0
-3132.0,-8216.0,11916.0,-6830.0,-4297.0,728.0,4868.0,11692.0,9560.0,-4323.0,3657.0,11646.0,-1816.0,-14508.0,8192.0,294.0,8085.0,5197.0
-3328.0,-8760.0,11920.0,-9774.0,-5153.0,141.0,4608.0,17392.0,11856.0,-8901.0,6023.0,11119.0,864.0,-15396.0,2076.0,-7.0,13165.0,8292.0
-3124.0,-9504.0,12120.0,-10594.0,-5748.0,-545.0,5500.0,17784.0,11628.0,-13201.0,8252.0,8883.0,-816.0,-15392.0,5996.0,697.0,17650.0,9759.0
-2584.0,-11228.0,12960.0,-12826.0,-5672.0,-1094.0,5060.0,14020.0,7564.0,-14922.0,8557.0,8458.0,-1340.0,-14668.0,4112.0,-201.0,17982.0,10210.0
-1872.0,-13040.0,13328.0,-11741.0,-4345.0,-709.0,7188.0,7648.0,6972.0,-11911.0,7222.0,10555.0,-2528.0,-12664.0,6496.0,-1868.0,17513.0,10704.0
-2544.0,-13200.0,13732.0,-10483.0,-1881.0,1363.0,7756.0,12788.0,10160.0,-8448.0,6282.0,15084.0,-1260.0,-17180.0,4232.0,-4488.0,16550.0,9309.0
-1620.0,-12648.0,11468.0,-11875.0,-1219.0,2790.0,6916.0,17060.0,11840.0,-8948.0,6316.0,14174.0,-2252.0,-21252.0,5596.0,-2910.0,17224.0,6204.0
