0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-3384.0,-10328.0,12312.0,-218.0,-34.0,550.0,5712.0,11716.0,10176.0,-366.0,322.0,-198.0,-72.0,-14544.0,6420.0,-720.0,140.0,-29.0
-3328.0,-10224.0,12304.0,-255.0,-123.0,363.0,5828.0,11160.0,9912.0,-473.0,316.0,96.0,40.0,-14444.0,5968.0,-558.0,67.0,94.0
-3468.0,-10240.0,12540.0,29.0,-166.0,334.0,5488.0,11608.0,9712.0,-463.0,198.0,269.0,16.0,-14044.0,6072.0,-377.0,141.0,51.0
-3636.0,-10184.0,12540.0,123.0,-215.0,245.0,5416.0,11672.0,9604.0,-443.0,103.0,289.0,236.0,-14392.0,5360.0,-422.0,204.0,217.0
-3464.0,-10068.0,12632.0,396.0,104.0,209.0,5236.0,12360.0,9632.0,-521.0,29.0,83.0,156.0,-14524.0,5664.0,-428.0,390.0,48.0
-3608.0,-10044.0,12608.0,154.0,157.0,152.0,5404.0,11920.0,9820.0,-603.0,-85.0,-97.0,168.0,-14420.0,5432.0,-504.0,418.0,-89.0
-3704.0,-9860.0,12428.0,189.0,192.0,160.0,5372.0,11624.0,9460.0,-601.0,-72.0,23.0,84.0,-14176.0,5704.0,-363.0,492.0,10.0
-3628.0,-9692.0,12476.0,74.0,112.0,96.0,5428.0,11352.0,9580.0,-763.0,-187.0,326.0,20.0,-14328.0,5704.0,-219.0,349.0,246.0
-3536.0,-9720.0,12448.0,-371.0,-304.0,-96.0,5424.0,11640.0,9580.0,-797.0,-132.0,588.0,176.0,-14132.0,5372.0,35.0,493.0,374.0
-3484.0,-9844.0,12408.0,-621.0,-339.0,-256.0,5412.0,11576.0,9304.0,-977.0,-186.0,580.0,84.0,-14116.0,5448.0,229.0,770.0,467.0
-3296.0,-10020.0,12456.0,-294.0,-368.0,-352.0,5744.0,11056.0,9372.0,-912.0,-363.0,752.0,-220.0,-13992.0,6100.0,318.0,644.0,711.0
-3084.0,-9652.0,12160.0,-716.0,-566.0,-617.0,6320.0,10852.0,9984.0,-1710.0,-433.0,1443.0,-500.0,-15316.0,6756.0,1540.0,575.0,986.0
-2940.0,-9528.0,11840.0,-2076.0,-1297.0,-1450.0,6616.0,10936.0,10548.0,-3194.0,-342.0,2512.0,-896.0,-15220.0,7652.0,3313.0,166.0,934.0
-2436.0,-10480.0,11800.0,-2794.0,-1354.0,-2089.0,6728.0,10272.0,10000.0,-4642.0,-446.0,3372.0,-680.0,-14400.0,7632.0,4959.0,189.0,1257.0
-2052.0,-10624.0,11576.0,-3707.0,-1508.0,-2749.0,8052.0,8408.0,10668.0,-6008.0,-1052.0,4972.0,-1916.0,-15788.0,9844.0,7813.0,-88.0,2187.0
-1820.0,-9804.0,10944.0,-7228.0,-3089.0,-4117.0,9940.0,8228.0,13860.0,-9420.0,-828.0,8588.0,-2732.0,-17628.0,11676.0,12513.0,-1085.0,3286.0
-988.0,-11472.0,10564.0,-12116.0,-4906.0,-6235.0,10944.0,6832.0,14496.0,-14038.0,-246.0,12019.0,-3080.0,-17192.0,12304.0,17222.0,-2015.0,3135.0
996.0,-14412.0,10144.0,-15937.0,-6452.0,-7571.0,11580.0,6908.0,13312.0,-15459.0,89.0,14304.0,-3216.0,-13440.0,13280.0,20809.0,-1873.0,3319.0
2352.0,-16948.0,10064.0,-16532.0,-7084.0,-7704.0,12488.0,7744.0,15932.0,-15919.0,-368.0,14397.0,-4368.0,-10216.0,14700.0,21024.0,-1907.0,4322.0
3808.0,-19864.0,10080.0,-15530.0,-8339.0,-5931.0,15984.0,5628.0,18456.0,-14461.0,1388.0,14282.0,-5736.0,-7620.0,19020.0,20288.0,-1860.0,6663.0
4320.0,-20524.0,10084.0,-14322.0,-6935.0,-3448.0,16988.0,5660.0,18584.0,-16238.0,2861.0,12839.0,-7640.0,-9736.0,21352.0,19145.0,-3333.0,8418.0
