0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-2696.0,-12260.0,12432.0,-9646.0,194.0,-91.0,724.0,13500.0,10744.0,-8606.0,-2643.0,7421.0,8336.0,-4388.0,15196.0,8398.0,-4141.0,-5001.0
-2792.0,-13352.0,12056.0,-8527.0,594.0,209.0,480.0,13024.0,10528.0,-7807.0,-2438.0,6448.0,7136.0,-3124.0,11336.0,7223.0,-4299.0,-4613.0
-3132.0,-13468.0,11820.0,-6450.0,1866.0,1441.0,796.0,11976.0,10972.0,-5815.0,-2038.0,6045.0,7360.0,-2572.0,10788.0,4322.0,-3937.0,-3620.0
-3528.0,-12616.0,11092.0,-4985.0,1915.0,1814.0,536.0,12320.0,11116.0,-4601.0,-1358.0,5551.0,8608.0,-3516.0,11788.0,3013.0,-3880.0,-2712.0
-3644.0,-12124.0,11288.0,-5098.0,1352.0,1734.0,1560.0,11972.0,11640.0,-4264.0,-1814.0,6975.0,9292.0,-3892.0,15112.0,2036.0,-3077.0,-2517.0
-3452.0,-11120.0,11700.0,-6547.0,612.0,1305.0,2388.0,12892.0,12748.0,-5566.0,-2153.0,10138.0,11080.0,-5364.0,17648.0,4256.0,-4227.0,-3333.0
-3160.0,-11960.0,12068.0,-9661.0,-83.0,652.0,3440.0,13476.0,12796.0,-8090.0,-2883.0,13132.0,11224.0,-5468.0,19300.0,7673.0,-5350.0,-5386.0
-2444.0,-12704.0,12472.0,-12724.0,97.0,630.0,4852.0,14352.0,13604.0,-10692.0,-3545.0,17482.0,10364.0,-5164.0,19788.0,9993.0,-5668.0,-6654.0
-1972.0,-13640.0,12424.0,-15169.0,-1314.0,106.0,5940.0,14360.0,14128.0,-13081.0,-3397.0,20767.0,10436.0,-4796.0,19360.0,13549.0,-8058.0,-8197.0
-1776.0,-14484.0,11948.0,-17287.0,-1436.0,535.0,7732.0,12676.0,14364.0,-14648.0,-3131.0,23526.0,9852.0,-3632.0,18852.0,14667.0,-8244.0,-9590.0
-1828.0,-15020.0,11024.0,-18192.0,-2220.0,1109.0,8240.0,13924.0,16588.0,-16458.0,-1848.0,25204.0,10764.0,-2944.0,20044.0,16279.0,-9337.0,-9958.0
-2700.0,-14628.0,9280.0,-21798.0,-1308.0,1665.0,10756.0,10860.0,17184.0,-19577.0,-860.0,29585.0,11868.0,-3348.0,21660.0,18664.0,-10896.0,-11102.0
-2700.0,-14876.0,9088.0,-25751.0,-2884.0,2291.0,12724.0,10672.0,18900.0,-22334.0,515.0,32767.0,12596.0,-4160.0,23880.0,21656.0,-13911.0,-11776.0
-2132.0,-14688.0,7188.0,-32768.0,-4641.0,2527.0,13324.0,12388.0,19240.0,-26560.0,2576.0,32767.0,11220.0,-3904.0,23348.0,27890.0,-15938.0,-14457.0
-1720.0,-16628.0,7560.0,-32768.0,-947.0,3128.0,14392.0,9364.0,19180.0,-30516.0,5085.0,32767.0,9364.0,-2348.0,19488.0,32079.0,-18007.0,-14736.0
-2508.0,-16992.0,1584.0,-32768.0,-2941.0,3075.0,14660.0,5096.0,17976.0,-30998.0,8243.0,32767.0,9236.0,-1768.0,16236.0,32767.0,-15644.0,-15934.0
-2272.0,-15492.0,620.0,-32768.0,-3645.0,3367.0,13196.0,5596.0,17336.0,-29452.0,12909.0,32767.0,11268.0,-1728.0,15180.0,32767.0,-14716.0,-16330.0
-1852.0,-16292.0,-560.0,-32768.0,-4937.0,2520.0,11376.0,4900.0,14228.0,-30036.0,13663.0,32767.0,9680.0,308.0,11296.0,32767.0,-13885.0,-19869.0
-3244.0,-16796.0,-3600.0,-32768.0,-5271.0,1535.0,9332.0,-344.0,14576.0,-27035.0,15796.0,32767.0,8740.0,2212.0,4488.0,32767.0,-10413.0,-18476.0
-4924.0,-16500.0,-5236.0,-32768.0,-6688.0,626.0,6560.0,-1312.0,14720.0,-23621.0,16206.0,32767.0,8008.0,3700.0,5124.0,32767.0,-9121.0,-18563.0
-4896.0,-15184.0,-6748.0,-32768.0,-9403.0,-511.0,8584.0,-4144.0,16392.0,-21044.0,17505.0,32767.0,8300.0,4056.0,1312.0,32767.0,-6548.0,-17355.0
-4756.0,-13728.0,-7620.0,-32768.0,-9788.0,-1055.0,9836.0,-2332.0,18888.0,-17667.0,21009.0,32767.0,9180.0,4904.0,672.0,32767.0,-4717.0,-15433.0
-5336.0,-13700.0,-7756.0,-32768.0,-10398.0,-1621.0,10000.0,-4212.0,15560.0,-15678.0,23026.0,32767.0,8824.0,4676.0,136.0,32767.0,-2639.0,-15548.0
-3956.0,-12676.0,-9788.0,-32768.0,-13811.0,-2110.0,5536.0,32.0,12312.0,-14522.0,24036.0,32767.0,8988.0,6132.0,-372.0,32767.0,-2680.0,-14416.0
-3640.0,-13344.0,-9904.0,-32768.0,-15635.0,-3643.0,2892.0,-84.0,10976.0,-12466.0,22393.0,32767.0,7504.0,7292.0,-6132.0,32767.0,-2669.0,-14269.0
-4576.0,-13592.0,-10804.0,-32768.0,-14189.0,-5171.0,-2568.0,-1368.0,10288.0,-9606.0,18789.0,32767.0,7452.0,9156.0,-7812.0,32767.0,1474.0,-12145.0
-4064.0,-14072.0,-11128.0,-32768.0,-15217.0,-5489.0,-3660.0,-292.0,11404.0,-5233.0,17430.0,32767.0,5060.0,13416.0,-10128.0,32767.0,876.0,-10253.0
-4644.0,-14496.0,-10520.0,-32768.0,-12977.0,-2731.0,-1312.0,-4452.0,11964.0,1226.0,15255.0,32767.0,5400.0,13672.0,-12152.0,32568.0,1183.0,-5804.0
-5608.0,-12752.0,-10916.0,-29334.0,-12849.0,-372.0,-2188.0,-6652.0,9500.0,7069.0,12829.0,32767.0,5724.0,14584.0,-9444.0,25924.0,3104.0,-2452.0
-5932.0,-11720.0,-10356.0,-24367.0,-12556.0,1286.0,-3992.0,212.0,12576.0,10817.0,9792.0,32767.0,7060.0,13304.0,-8696.0,23568.0,1416.0,-195.0
-5740.0,-8260.0,-10680.0,-19833.0,-12784.0,1630.0,-2684.0,-48.0,12776.0,10592.0,9441.0,32767.0,10716.0,9900.0,-5584.0,20035.0,2717.0,2321.0
-5832.0,-7028.0,-10188.0,-21154.0,-12413.0,451.0,-2388.0,-2696.0,9324.0,12157.0,8120.0,32767.0,12620.0,7984.0,-5888.0,21476.0,1557.0,-1011.0
-6088.0,-7596.0,-10108.0,-22251.0,-11484.0,-1105.0,-4080.0,2724.0,10428.0,11784.0,5194.0,32767.0,10060.0,10992.0,-10940.0,19853.0,4193.0,-1699.0
-6456.0,-8588.0,-9820.0,-17076.0,-9841.0,-1095.0,-5968.0,4276.0,10628.0,12682.0,3198.0,32767.0,8448.0,12884.0,-11284.0,15911.0,4796.0,-1653.0
-7196.0,-7836.0,-10284.0,-12748.0,-9176.0,-553.0,-5356.0,4848.0,12300.0,13115.0,3154.0,28555.0,8280.0,12512.0,-7692.0,13411.0,6425.0,1784.0
-7508.0,-7048.0,-9484.0,-10468.0,-8719.0,-644.0,-3448.0,1520.0,10140.0,13061.0,1246.0,27416.0,11292.0,9884.0,-11328.0,10557.0,7548.0,3081.0
